# Bank Frame Channel Monitor - Slice[0] Bank[1]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
[9736000] INFO: slice start (cycle=0)
    19407000 |     7736 |  114 |   5 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c85
    19409000 |     7738 |  114 |   6 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c86
    19412000 |     7740 |  114 |   7 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c87
    19414000 |     7742 |  114 |   8 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c88
    19417000 |     7744 |  114 |   9 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c89
    19419000 |     7746 |  114 |  10 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c8a
    19422000 |     7748 |  114 |  11 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c8b
    19424000 |     7750 |  114 |  12 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c8c
    19427000 |     7752 |  114 |  13 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c8d
    19429000 |     7754 |  114 |  14 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c8e
    19432000 |     7756 |  114 |  15 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c8f
    19434000 |     7758 |  114 |  16 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c90
    19437000 |     7760 |  114 |  17 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c91
    19439000 |     7762 |  114 |  18 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c92
    19442000 |     7764 |  114 |  19 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c93
    19444000 |     7766 |  114 |  20 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c94
    19447000 |     7768 |  114 |  21 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c95
    19449000 |     7770 |  114 |  22 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c96
    19452000 |     7772 |  114 |  23 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c97
    19454000 |     7774 |  114 |  24 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c98
    19457000 |     7776 |  114 |  25 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c99
    19459000 |     7778 |  114 |  26 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c9a
    19462000 |     7780 |  114 |  27 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c9b
    19464000 |     7782 |  114 |  28 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c9c
    19467000 |     7784 |  114 |  29 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c9d
    19469000 |     7786 |  114 |  30 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c9e
    19474000 |     7790 |  114 |  31 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001c9f
    19479000 |     7794 |  114 |  32 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca0
    19484000 |     7798 |  114 |  33 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca1
    19489000 |     7802 |  114 |  34 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca2
    19494000 |     7806 |  114 |  35 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca3
    19499000 |     7810 |  114 |  36 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca4
    19504000 |     7814 |  114 |  37 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca5
    19509000 |     7818 |  114 |  38 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca6
    19514000 |     7822 |  114 |  39 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca7
    19519000 |     7826 |  114 |  40 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca8
    19524000 |     7830 |  114 |  41 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001ca9
    19529000 |     7834 |  114 |  42 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001caa
    19534000 |     7838 |  114 |  43 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cab
    19539000 |     7842 |  114 |  44 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cac
    19544000 |     7846 |  114 |  45 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cad
    19549000 |     7850 |  114 |  46 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cae
    19554000 |     7854 |  114 |  47 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001caf
    19559000 |     7858 |  114 |  48 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb0
    19564000 |     7862 |  114 |  49 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb1
    19569000 |     7866 |  114 |  50 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb2
    19574000 |     7870 |  114 |  51 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb3
    19579000 |     7874 |  114 |  52 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb4
    19584000 |     7878 |  114 |  53 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb5
    19589000 |     7882 |  114 |  54 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb6
    19594000 |     7886 |  114 |  55 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb7
    19599000 |     7890 |  114 |  56 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb8
    19604000 |     7894 |  114 |  57 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cb9
    19609000 |     7898 |  114 |  58 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cba
    19614000 |     7902 |  114 |  59 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cbb
    19619000 |     7906 |  114 |  60 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cbc
    19624000 |     7910 |  114 |  61 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cbd
    19629000 |     7914 |  114 |  62 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cbe
    19634000 |     7918 |  114 |  63 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cbf
    19912000 |     8140 |  114 |  63 | 1(W) | 0 | 1 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cbf
[19912000] INFO: Row Change (cycle=8140, total=2)
    19914000 |     8142 |    0 |  13 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x00000d
    19947000 |     8168 |    0 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000e
    19969000 |     8186 |    0 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00000f
    19972000 |     8188 |    0 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000010
    20507000 |     8616 |    0 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000011
    20522000 |     8628 |    0 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000012
    20524000 |     8630 |    0 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000013
    20532000 |     8636 |    0 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000014
    21102000 |     9092 |    0 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000015
    21117000 |     9104 |    0 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000016
    21119000 |     9106 |    0 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000017
    21127000 |     9112 |    0 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000018
    21697000 |     9568 |    0 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000019
    21712000 |     9580 |    0 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001a
    21714000 |     9582 |    0 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001b
    21722000 |     9588 |    0 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001c
    22292000 |    10044 |    0 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001d
    22307000 |    10056 |    0 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001e
    22309000 |    10058 |    0 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00001f
    22317000 |    10064 |    0 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000020
    22887000 |    10520 |    0 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000021
    22902000 |    10532 |    0 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000022
    22904000 |    10534 |    0 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000023
    22912000 |    10540 |    0 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000024
    23482000 |    10996 |    0 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000025
    23497000 |    11008 |    0 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000026
    23499000 |    11010 |    0 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000027
    23507000 |    11016 |    0 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000028
    24077000 |    11472 |    0 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000029
    24092000 |    11484 |    0 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002a
    24094000 |    11486 |    0 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002b
    24102000 |    11492 |    0 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002c
    24672000 |    11948 |    0 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002d
    24687000 |    11960 |    0 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002e
    24689000 |    11962 |    0 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00002f
    24697000 |    11968 |    0 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000030
    25267000 |    12424 |    0 |  49 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000031
    25282000 |    12436 |    0 |  50 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000032
    25284000 |    12438 |    0 |  51 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000033
    25292000 |    12444 |    0 |  52 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000034
    25862000 |    12900 |    0 |  53 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000035
    25877000 |    12912 |    0 |  54 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000036
    25879000 |    12914 |    0 |  55 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000037
    25887000 |    12920 |    0 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000038
    26457000 |    13376 |    0 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000039
    26472000 |    13388 |    0 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003a
    26474000 |    13390 |    0 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003b
    26482000 |    13396 |    0 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003c
    27052000 |    13852 |    0 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003d
    27067000 |    13864 |    0 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003e
    27069000 |    13866 |    0 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00003f
    28879000 |    15314 |    0 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00003f
[28879000] INFO: Row Change (cycle=15314, total=3)
    28882000 |    15316 |  115 |   0 | 1(W) | 1 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc0
    28897000 |    15328 |  115 |   1 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc1
    28919000 |    15346 |  115 |   2 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc2
    28922000 |    15348 |  115 |   3 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc3
    28924000 |    15350 |  115 |   4 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc4
    28927000 |    15352 |  115 |   5 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc5
    28929000 |    15354 |  115 |   6 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc6
    28932000 |    15356 |  115 |   7 | 1(W) | 0 | 0 | 0xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx | 0x001cc7
