# Bank Frame Channel Monitor - Slice[0] Bank[2]
# Format: Time(ns) | CycleFromSliceStart | Row(dec) | Col(dec) | RW(0:R,1:W) | StartFrame | EndFrame | Data(hex128) | Addr(hex)
# ========================================
[9736000] INFO: slice start (cycle=0)
    10169000 |      346 |    1 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000057
    10182000 |      356 |    1 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000058
    10184000 |      358 |    1 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005c
    10187000 |      360 |    1 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000059
    10189000 |      362 |    1 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005d
    10192000 |      364 |    1 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005a
    10194000 |      366 |    1 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005b
    10209000 |      378 |    1 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005e
    10212000 |      380 |    1 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00005f
    10224000 |      390 |    1 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000060
    10227000 |      392 |    1 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000064
    10229000 |      394 |    1 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000061
    10232000 |      396 |    1 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000065
    10234000 |      398 |    1 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000062
    10237000 |      400 |    1 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000063
    10252000 |      412 |    1 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000066
    10254000 |      414 |    1 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000067
    10267000 |      424 |    1 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000068
    10269000 |      426 |    1 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006c
    10272000 |      428 |    1 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000069
    10274000 |      430 |    1 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006d
    10277000 |      432 |    1 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006a
    10279000 |      434 |    1 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006b
    10294000 |      446 |    1 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006e
    10297000 |      448 |    1 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00006f
    10309000 |      458 |    1 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000070
    10312000 |      460 |    1 |  52 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000074
    10314000 |      462 |    1 |  49 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000071
    10317000 |      464 |    1 |  53 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000075
    10319000 |      466 |    1 |  50 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000072
    10322000 |      468 |    1 |  51 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000073
    10337000 |      480 |    1 |  54 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000076
    10339000 |      482 |    1 |  55 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000077
    10352000 |      492 |    1 |  56 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000078
    10354000 |      494 |    1 |  60 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007c
    10357000 |      496 |    1 |  57 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000079
    10359000 |      498 |    1 |  61 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007d
    10362000 |      500 |    1 |  58 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007a
    10364000 |      502 |    1 |  59 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007b
    10379000 |      514 |    1 |  62 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007e
    10382000 |      516 |    1 |  63 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00007f
    10394000 |      526 |    1 |  63 | 0(R) | 0 | 1 | 0x00000000000000000000000000000000 | 0x00007f
[10394000] INFO: Row Change (cycle=526, total=2)
    10397000 |      528 |    2 |   4 | 0(R) | 1 | 0 | 0x00000000000000000000000000000000 | 0x000084
    10412000 |      540 |    2 |   5 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000085
    10434000 |      558 |    2 |   0 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000080
    10437000 |      560 |    2 |   6 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000086
    10439000 |      562 |    2 |   1 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000081
    10442000 |      564 |    2 |   7 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000087
    10444000 |      566 |    2 |   2 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000082
    10447000 |      568 |    2 |  12 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008c
    10449000 |      570 |    2 |   3 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000083
    10452000 |      572 |    2 |  13 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008d
    10454000 |      574 |    2 |   8 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000088
    10457000 |      576 |    2 |   9 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000089
    10459000 |      578 |    2 |  10 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008a
    10462000 |      580 |    2 |  11 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008b
    10464000 |      582 |    2 |  14 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008e
    10467000 |      584 |    2 |  15 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00008f
    10479000 |      594 |    2 |  16 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000090
    10482000 |      596 |    2 |  20 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000094
    10484000 |      598 |    2 |  17 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000091
    10487000 |      600 |    2 |  21 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000095
    10489000 |      602 |    2 |  18 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000092
    10492000 |      604 |    2 |  19 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000093
    10507000 |      616 |    2 |  22 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000096
    10509000 |      618 |    2 |  23 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000097
    10522000 |      628 |    2 |  24 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000098
    10524000 |      630 |    2 |  28 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00009c
    10527000 |      632 |    2 |  25 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x000099
    10529000 |      634 |    2 |  29 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00009d
    10532000 |      636 |    2 |  26 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00009a
    10534000 |      638 |    2 |  27 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00009b
    10549000 |      650 |    2 |  30 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00009e
    10552000 |      652 |    2 |  31 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x00009f
    10564000 |      662 |    2 |  32 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a0
    10567000 |      664 |    2 |  36 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a4
    10569000 |      666 |    2 |  33 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a1
    10572000 |      668 |    2 |  37 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a5
    10574000 |      670 |    2 |  34 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a2
    10577000 |      672 |    2 |  35 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a3
    10592000 |      684 |    2 |  38 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a6
    10594000 |      686 |    2 |  39 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a7
    10607000 |      696 |    2 |  40 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a8
    10609000 |      698 |    2 |  44 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000ac
    10612000 |      700 |    2 |  41 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000a9
    10614000 |      702 |    2 |  45 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000ad
    10617000 |      704 |    2 |  42 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000aa
    10619000 |      706 |    2 |  43 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000ab
    10634000 |      718 |    2 |  46 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000ae
    10637000 |      720 |    2 |  47 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000af
    10649000 |      730 |    2 |  48 | 0(R) | 0 | 0 | 0x00000000000000000000000000000000 | 0x0000b0
