# Hub Local Request Monitor - Slice[0] Bank[2]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[9736000] INFO: slice start (cycle=0)
    10109000 |     2 | 0x100043 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10112000 |     4 | 0x10004d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10114000 |     2 | 0x100048 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10117000 |     2 | 0x100049 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10119000 |     2 | 0x10004a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10122000 |     2 | 0x10004b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10124000 |     4 | 0x10004e |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10127000 |     4 | 0x10004f |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10139000 |     2 | 0x100050 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10142000 |     4 | 0x100054 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10144000 |     2 | 0x100051 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10147000 |     4 | 0x100055 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10149000 |     2 | 0x100052 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10152000 |     2 | 0x100053 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10167000 |     4 | 0x100056 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10169000 |     4 | 0x100057 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10182000 |     2 | 0x100058 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10184000 |     4 | 0x10005c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10187000 |     2 | 0x100059 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10189000 |     4 | 0x10005d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10192000 |     2 | 0x10005a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10194000 |     2 | 0x10005b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10209000 |     4 | 0x10005e |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10212000 |     4 | 0x10005f |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10224000 |     2 | 0x100060 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10227000 |     4 | 0x100064 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10229000 |     2 | 0x100061 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10232000 |     4 | 0x100065 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10234000 |     2 | 0x100062 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10237000 |     2 | 0x100063 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10252000 |     4 | 0x100066 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10254000 |     4 | 0x100067 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10267000 |     2 | 0x100068 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10269000 |     4 | 0x10006c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10272000 |     2 | 0x100069 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10274000 |     4 | 0x10006d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10277000 |     2 | 0x10006a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10279000 |     2 | 0x10006b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10294000 |     4 | 0x10006e |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10297000 |     4 | 0x10006f |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10309000 |     2 | 0x100070 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10312000 |     4 | 0x100074 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10314000 |     2 | 0x100071 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10317000 |     4 | 0x100075 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10319000 |     2 | 0x100072 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10322000 |     2 | 0x100073 |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10337000 |     4 | 0x100076 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10339000 |     4 | 0x100077 |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10352000 |     2 | 0x100078 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10354000 |     4 | 0x10007c |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10357000 |     2 | 0x100079 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10359000 |     4 | 0x10007d |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10362000 |     2 | 0x10007a |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10364000 |     2 | 0x10007b |                0 |               1 | NON_WRITE_REQ | 0b0000000100 | 0b1100000000
    10379000 |     4 | 0x10007e |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10382000 |     4 | 0x10007f |                0 |               1 | NON_WRITE_REQ | 0b0000010000 | 0b1100000000
    10397000 |     4 | 0x100084 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10412000 |     4 | 0x100085 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10434000 |     2 | 0x100080 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10437000 |     4 | 0x100086 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
    10439000 |     2 | 0x100081 |                0 |               1 | NON_WRITE_REQ | 0b0000010100 | 0b1100000000
