global_event_index,buffer,buffer_event_index,ideal_ready_cycle,actual_ready_cycle,pe_next_available_cycle,ideal_compute_start_cycle,actual_compute_start_cycle,actual_compute_end_cycle,exposed_bubble_cycles,buffer_ready_early_slack_cycles,row_switched_this_event,delay_when_needed_cycles
131,pong,65,2124,2219,2253,2124,2253,2269,0,34,0,95
132,ping,66,2140,2237,2269,2140,2269,2285,0,32,0,97
133,pong,66,2156,2253,2285,2156,2285,2301,0,32,0,97
134,ping,67,2172,2271,2301,2172,2301,2317,0,30,0,99
135,pong,67,2188,2287,2317,2188,2317,2333,0,30,0,99
136,ping,68,2204,2305,2333,2204,2333,2349,0,28,0,101
137,pong,68,2220,2321,2349,2220,2349,2365,0,28,0,101
138,ping,69,2236,2339,2365,2236,2365,2381,0,26,0,103
139,pong,69,2252,2355,2381,2252,2381,2397,0,26,0,103
140,ping,70,2268,2373,2397,2268,2397,2413,0,24,0,105
141,pong,70,2284,2389,2413,2284,2413,2429,0,24,0,105
142,ping,71,2300,2407,2429,2300,2429,2445,0,22,0,107
143,pong,71,2316,2423,2445,2316,2445,2461,0,22,0,107
144,ping,72,2332,2477,2461,2332,2477,2493,16,0,1,145
145,pong,72,2348,2469,2493,2348,2493,2509,0,24,1,121
146,ping,73,2364,2485,2509,2364,2509,2525,0,24,0,121
147,pong,73,2380,2491,2525,2380,2525,2541,0,34,0,111
148,ping,74,2396,2509,2541,2396,2541,2557,0,32,0,113
149,pong,74,2412,2525,2557,2412,2557,2573,0,32,0,113
150,ping,75,2428,2543,2573,2428,2573,2589,0,30,0,115
151,pong,75,2444,2559,2589,2444,2589,2605,0,30,0,115
152,ping,76,2460,2577,2605,2460,2605,2621,0,28,0,117
153,pong,76,2476,2593,2621,2476,2621,2637,0,28,0,117
154,ping,77,2492,2611,2637,2492,2637,2653,0,26,0,119
155,pong,77,2508,2627,2653,2508,2653,2669,0,26,0,119
156,ping,78,2524,2645,2669,2524,2669,2685,0,24,0,121
157,pong,78,2540,2661,2685,2540,2685,2701,0,24,0,121
158,ping,79,2556,2679,2701,2556,2701,2717,0,22,0,123
159,pong,79,2572,2695,2717,2572,2717,2733,0,22,0,123
160,ping,80,2588,2749,2733,2588,2749,2765,16,0,1,161
161,pong,80,2604,2741,2765,2604,2765,2781,0,24,1,137
162,ping,81,2620,2757,2781,2620,2781,2797,0,24,0,137
163,pong,81,2636,2763,2797,2636,2797,2813,0,34,0,127
164,ping,82,2652,2781,2813,2652,2813,2829,0,32,0,129
165,pong,82,2668,2797,2829,2668,2829,2845,0,32,0,129
166,ping,83,2684,2815,2845,2684,2845,2861,0,30,0,131
167,pong,83,2700,2831,2861,2700,2861,2877,0,30,0,131
168,ping,84,2716,2849,2877,2716,2877,2893,0,28,0,133
169,pong,84,2732,2865,2893,2732,2893,2909,0,28,0,133
170,ping,85,2748,2883,2909,2748,2909,2925,0,26,0,135
171,pong,85,2764,2899,2925,2764,2925,2941,0,26,0,135
172,ping,86,2780,2917,2941,2780,2941,2957,0,24,0,137
173,pong,86,2796,2933,2957,2796,2957,2973,0,24,0,137
174,ping,87,2812,2951,2973,2812,2973,2989,0,22,0,139
175,pong,87,2828,2967,2989,2828,2989,3005,0,22,0,139
176,ping,88,2844,3021,3005,2844,3021,3037,16,0,1,177
177,pong,88,2860,3013,3037,2860,3037,3053,0,24,1,153
178,ping,89,2876,3029,3053,2876,3053,3069,0,24,0,153
179,pong,89,2892,3035,3069,2892,3069,3085,0,34,0,143
180,ping,90,2908,3053,3085,2908,3085,3101,0,32,0,145
181,pong,90,2924,3069,3101,2924,3101,3117,0,32,0,145
182,ping,91,2940,3087,3117,2940,3117,3133,0,30,0,147
183,pong,91,2956,3103,3133,2956,3133,3149,0,30,0,147
184,ping,92,2972,3121,3149,2972,3149,3165,0,28,0,149
185,pong,92,2988,3137,3165,2988,3165,3181,0,28,0,149
186,ping,93,3004,3155,3181,3004,3181,3197,0,26,0,151
187,pong,93,3020,3171,3197,3020,3197,3213,0,26,0,151
188,ping,94,3036,3189,3213,3036,3213,3229,0,24,0,153
189,pong,94,3052,3205,3229,3052,3229,3245,0,24,0,153
190,ping,95,3068,3223,3245,3068,3245,3261,0,22,0,155
191,pong,95,3084,3239,3261,3084,3261,3277,0,22,0,155
192,ping,96,3100,3293,3277,3100,3293,3309,16,0,1,193
193,pong,96,3116,3285,3309,3116,3309,3325,0,24,1,169
194,ping,97,3132,3301,3325,3132,3325,3341,0,24,0,169
195,pong,97,3148,3307,3341,3148,3341,3357,0,34,0,159
196,ping,98,3164,3325,3357,3164,3357,3373,0,32,0,161
197,pong,98,3180,3341,3373,3180,3373,3389,0,32,0,161
198,ping,99,3196,3359,3389,3196,3389,3405,0,30,0,163
199,pong,99,3212,3375,3405,3212,3405,3421,0,30,0,163
200,ping,100,3228,3393,3421,3228,3421,3437,0,28,0,165
201,pong,100,3244,3409,3437,3244,3437,3453,0,28,0,165
202,ping,101,3260,3427,3453,3260,3453,3469,0,26,0,167
203,pong,101,3276,3443,3469,3276,3469,3485,0,26,0,167
204,ping,102,3292,3461,3485,3292,3485,3501,0,24,0,169
205,pong,102,3308,3477,3501,3308,3501,3517,0,24,0,169
206,ping,103,3324,3495,3517,3324,3517,3533,0,22,0,171
207,pong,103,3340,3511,3533,3340,3533,3549,0,22,0,171
208,ping,104,3356,3565,3549,3356,3565,3581,16,0,1,209
209,pong,104,3372,3557,3581,3372,3581,3597,0,24,1,185
210,ping,105,3388,3573,3597,3388,3597,3613,0,24,0,185
211,pong,105,3404,3579,3613,3404,3613,3629,0,34,0,175
212,ping,106,3420,3597,3629,3420,3629,3645,0,32,0,177
213,pong,106,3436,3613,3645,3436,3645,3661,0,32,0,177
214,ping,107,3452,3631,3661,3452,3661,3677,0,30,0,179
215,pong,107,3468,3647,3677,3468,3677,3693,0,30,0,179
216,ping,108,3484,3665,3693,3484,3693,3709,0,28,0,181
217,pong,108,3500,3681,3709,3500,3709,3725,0,28,0,181
218,ping,109,3516,3699,3725,3516,3725,3741,0,26,0,183
219,pong,109,3532,3715,3741,3532,3741,3757,0,26,0,183
220,ping,110,3548,3733,3757,3548,3757,3773,0,24,0,185
221,pong,110,3564,3749,3773,3564,3773,3789,0,24,0,185
222,ping,111,3580,3767,3789,3580,3789,3805,0,22,0,187
223,pong,111,3596,3783,3805,3596,3805,3821,0,22,0,187
224,ping,112,3612,3837,3821,3612,3837,3853,16,0,1,225
225,pong,112,3628,3829,3853,3628,3853,3869,0,24,1,201
226,ping,113,3644,3845,3869,3644,3869,3885,0,24,0,201
227,pong,113,3660,3851,3885,3660,3885,3901,0,34,0,191
228,ping,114,3676,3869,3901,3676,3901,3917,0,32,0,193
229,pong,114,3692,3885,3917,3692,3917,3933,0,32,0,193
230,ping,115,3708,3903,3933,3708,3933,3949,0,30,0,195
231,pong,115,3724,3919,3949,3724,3949,3965,0,30,0,195
232,ping,116,3740,3937,3965,3740,3965,3981,0,28,0,197
233,pong,116,3756,3953,3981,3756,3981,3997,0,28,0,197
234,ping,117,3772,3971,3997,3772,3997,4013,0,26,0,199
235,pong,117,3788,3987,4013,3788,4013,4029,0,26,0,199
236,ping,118,3804,4005,4029,3804,4029,4045,0,24,0,201
237,pong,118,3820,4021,4045,3820,4045,4061,0,24,0,201
238,ping,119,3836,4039,4061,3836,4061,4077,0,22,0,203
239,pong,119,3852,4055,4077,3852,4077,4093,0,22,0,203
240,ping,120,3868,4109,4093,3868,4109,4125,16,0,1,241
241,pong,120,3884,4101,4125,3884,4125,4141,0,24,1,217
242,ping,121,3900,4117,4141,3900,4141,4157,0,24,0,217
243,pong,121,3916,4123,4157,3916,4157,4173,0,34,0,207
244,ping,122,3932,4141,4173,3932,4173,4189,0,32,0,209
245,pong,122,3948,4157,4189,3948,4189,4205,0,32,0,209
246,ping,123,3964,4175,4205,3964,4205,4221,0,30,0,211
247,pong,123,3980,4191,4221,3980,4221,4237,0,30,0,211
248,ping,124,3996,4209,4237,3996,4237,4253,0,28,0,213
249,pong,124,4012,4225,4253,4012,4253,4269,0,28,0,213
250,ping,125,4028,4243,4269,4028,4269,4285,0,26,0,215
251,pong,125,4044,4259,4285,4044,4285,4301,0,26,0,215
252,ping,126,4060,4277,4301,4060,4301,4317,0,24,0,217
253,pong,126,4076,4293,4317,4076,4317,4333,0,24,0,217
254,ping,127,4092,4311,4333,4092,4333,4349,0,22,0,219
255,pong,127,4108,4327,4349,4108,4349,4365,0,22,0,219
256,ping,128,4124,4381,4365,4124,4381,4397,16,0,1,257
257,pong,128,4140,4373,4397,4140,4397,4413,0,24,1,233
258,ping,129,4156,4389,4413,4156,4413,4429,0,24,0,233
259,pong,129,4172,4395,4429,4172,4429,4445,0,34,0,223
260,ping,130,4188,4413,4445,4188,4445,4461,0,32,0,225
261,pong,130,4204,4429,4461,4204,4461,4477,0,32,0,225
262,ping,131,4220,4447,4477,4220,4477,4493,0,30,0,227
263,pong,131,4236,4463,4493,4236,4493,4509,0,30,0,227
264,ping,132,4252,4481,4509,4252,4509,4525,0,28,0,229
265,pong,132,4268,4497,4525,4268,4525,4541,0,28,0,229
