大组名称,模块名称,字段,配置名,备注,硬件端口名,备注,默认值
,,80bit[84:5],stream_engine.stream.buf_spatial_stride,,mse_buf_spatial_stride*16,buffer ag展开的多路offset,
,,5bit[4:0],stream_engine.stream.buf_spatial_size,,mse_buf_spatial_size,buffer ag需要展开的地址个数,
,2*Neighbor Stream Engine,1bit[7:7],n2n.src_slice_sel,1表示跳4个slice，0表示不跳,nse_in_src_slice_sel,1表示跳4个slice，0表示不跳,
,,1bit[6:6],sn2n.dst_slice_sel,1表示跳4个slice，0表示不跳,nse_out_dst_slice_sel,,
,,1bit[5:5],n2n.ping_pong,n2n是否pingpong,nse_pingpong_enable,,
,,5bit[4:0],n2n.mem_loop,参与n2n的slice个数,nse_cnt_size,,
,6*Buffer_Manager_Cluster,1bit[16:16],buffer_config.buffer.dst_port,"""0"" mans SpecArray,""1"" means GeneArray",buf_src_id,"0: SpecArray, 1: GeneArray",
,,4bit[15:12],buffer_config.buffer.buf_full_last_index,buffer满的last_index,buf_full_last_index,,
,,1bit[11:11],buffer_config.buffer.nbr_enable,buffer是否参与n2n,buf_nbr_enable,,
,,4bit[10:9],buffer_config.buffer.buffer_life_time,buffer被复用多少次,buffer_life_time,buffer被复用多少次,
,,1bit[8:8],buffer_config.buffer.mode,"0:for(life)for(row) ,1:for(row)for(life)",buffer_mode,mode0:for(life)for(row) mode1:for(row)for(life),
,,8bit[7:0],buffer_config.buffer.mask,buffer一行为256bit，按照32bit为粒度的8个元素的mask,buffer_mask,,
,,2bit[1:0],buffer_config.buffer.buf_end_row_addr,,,,
SA,mode,1bit[27:27],special_array.mode,"0:GEMM,1:GEMV",,,
,3*Inport,1bit[26:26],special_array.inport2.enable,sa的port是否使能,sa_inport_enable_2,,
,,1bit[25:25],special_array.inport2.pingpong_en,sa的port是否pingpong,sa_inport_pingpong_en_2,,
,,4bit[24:21],special_array.inport2.pingpong_last_index,sa的port切换pingpong的last_index(buffer满的时候切换pingpong),sa_inport_pingpong_last_index_2,,
,,1bit[14:14],special_array.inport2.nbr_enable,sa的port切换pingpong的last_index(buffer满的时候切换pingpong),sa_inport_nbr_enable_2,,
,,1bit[20:20],special_array.inport1.enable,,sa_inport_enable_1,,
,,1bit[19:19],special_array.inport1.pingpong_en,,sa_inport_pingpong_en_1,,
,,4bit[18:15],special_array.inport1.pingpong_last_index,,sa_inport_pingpong_last_index_1,,
,,1bit[14:14],special_array.inport1.nbr_enable,,sa_inport_nbr_enable_1,,
,,1bit[14:14],special_array.inport0.enable,,sa_inport_enable_0,,
,,1bit[13:13],special_array.inport0.pingpong_en,,sa_inport_pingpong_en_0,,
,,4bit[12:9],special_array.inport0.pingpong_last_index,,sa_inport_pingpong_last_index_0,PE的输出什么时候有效,
,,1bit[14:14],special_array.inport0.nbr_enable,,sa_inport_nbr_enable_0,,
,1*PE,2bit[8:7],special_array.data_type,fp16:2 int8:0,sa_pe_computation_data_type,fp16:2 int8:0,
,,4bit[6:3],special_array.transout_last_index,PE的输出什么时候有效可以写回到DRAM，即K轴划完的lc对应的last_index,sa_pe_transout_last_index,,
,,1bit[2:2],special_array.bias_enable,是否有bias,sa_pe_bias_enable,,
,1*Outport,1bit[1:1],special_array.outport.mode,col or row，表示希望PEA是col写回还是row写回，需要注意write mse的buf_spatial_stride,sa_outport_major,col：0  row:1,
,,1bit[0:0],special_array.outport.fp32tofp16,true or false,sa_outport_fp32tofp16,true: 1 false: 0,
,,1bit[0:0],special_array.outport.fp32tobf16,,sa_outport_fp32tobf16,,
GA,16*PE,5bit[131:127],general_array.PE_array.PE.alu_opcode,ga的操作数,ga_pe_alu_opcode,,
,,4bit[126:123],general_array.PE_array.PE.transout_last_index,ga PE哪个循环结束 输入结束,ga_pe_transout_last_index,,
,,3bit[122:120],general_array.PE_array.PE.inport2.src_id,配0表示来自buffer，配1-5表示来自周围的5个PE,ga_pe_src_id_2,,
,,4bit[119:116],general_array.PE_array.PE.inport2.keep_last_index,当mode配置为keep时该值有效,ga_pe_keep_last_index_2,,
